date,close price,return
30/08/2019,79.05,0.021185893
29/08/2019,77.41,0.007942708
28/08/2019,76.80,-0.004536617
27/08/2019,77.15,0.005080771
26/08/2019,76.76,-0.008268734
23/08/2019,77.40,0.003891051
22/08/2019,77.10,0.001038691
21/08/2019,77.02,-0.001426164
20/08/2019,77.13,0.011010617
19/08/2019,76.29,0.01557508
16/08/2019,75.12,0.010492333
15/08/2019,74.34,-0.029883857
14/08/2019,76.63,-0.035615404
13/08/2019,79.46,-0.006004503
12/08/2019,79.94,0.006547469
09/08/2019,79.42,0.005825735
08/08/2019,78.96,0.003303685
07/08/2019,78.70,-0.013784461
06/08/2019,79.80,-0.017362394
05/08/2019,81.21,-0.008182706
02/08/2019,81.88,-0.000488281
01/08/2019,81.92,-0.004617254
31/07/2019,82.30,-0.013189448
30/07/2019,83.40,0.001801802
29/07/2019,83.25,0.007991282
26/07/2019,82.59,-0.004939759
25/07/2019,83.00,0.007893139
24/07/2019,82.35,0.009809933
23/07/2019,81.55,-0.003665241
22/07/2019,81.85,-0.00292362
19/07/2019,82.09,0.008724502
18/07/2019,81.38,0.000737826
17/07/2019,81.32,0.005813234
16/07/2019,80.85,-0.002590674
15/07/2019,81.06,-0.005642787
12/07/2019,81.52,0.003446578
11/07/2019,81.24,0
10/07/2019,81.24,0.003334568
09/07/2019,80.97,-0.003813976
08/07/2019,81.28,-0.011913445
05/07/2019,82.26,0.008458992
04/07/2019,81.57,0.007659049
03/07/2019,80.95,-0.001233806
02/07/2019,81.05,-0.0154276
01/07/2019,82.32,-0.005556898
28/06/2019,82.78,-0.002650602
27/06/2019,83.00,0.009855214
26/06/2019,82.19,-0.002306385
25/06/2019,82.38,-0.003869407
24/06/2019,82.70,0.005593385
21/06/2019,82.24,-0.007841718
20/06/2019,82.89,0.007168894
19/06/2019,82.30,0.01043585
18/06/2019,81.45,0.015712682
17/06/2019,80.19,0.005265137
14/06/2019,79.77,-0.008082567
13/06/2019,80.42,0.00688619
12/06/2019,79.87,-0.013341569
11/06/2019,80.95,0.011875
07/06/2019,80.00,0.003512293
06/06/2019,79.72,0.004156695
05/06/2019,79.39,0.012369294
04/06/2019,78.42,0.006546015
03/06/2019,77.91,-0.007642339
31/05/2019,78.51,0.003964194
30/05/2019,78.20,0.003979972
29/05/2019,77.89,-0.001922091
28/05/2019,78.04,0.005151984
27/05/2019,77.64,-0.006907137
24/05/2019,78.18,0.000383877
23/05/2019,78.15,-0.010759494
22/05/2019,79.00,0.000379891
21/05/2019,78.97,0.020284238
20/05/2019,77.40,0.062748867
17/05/2019,72.83,-0.006818492
16/05/2019,73.33,0.010890543
15/05/2019,72.54,-0.000413394
14/05/2019,72.57,-0.012653061
13/05/2019,73.50,-0.025198939
10/05/2019,75.40,0.003059731
09/05/2019,75.17,0.005753278
08/05/2019,74.74,0.001742394
07/05/2019,74.61,-0.004403523
06/05/2019,74.94,-0.000533476
03/05/2019,74.98,0.001602992
02/05/2019,74.86,-0.008476821
01/05/2019,75.50,0.013150832
30/04/2019,74.52,-0.007855146
29/04/2019,75.11,-0.004506296
26/04/2019,75.45,0.003858435
24/04/2019,75.16,0.012938005
23/04/2019,74.20,0.010761477
18/04/2019,73.41,0.001637331
17/04/2019,73.29,0.00825423
16/04/2019,72.69,0.006926167
15/04/2019,72.19,0.007817953
12/04/2019,71.63,0.019499004
11/04/2019,70.26,-0.006925795
10/04/2019,70.75,0.007117438
09/04/2019,70.25,-0.005943116
08/04/2019,70.67,-0.0031034
05/04/2019,70.89,-0.00477327
04/04/2019,71.23,-0.00224121
03/04/2019,71.39,0.000140095
02/04/2019,71.38,0.000280269
01/04/2019,71.36,0.010192525
29/03/2019,70.64,-0.003807643
28/03/2019,70.91,0.000988142
27/03/2019,70.84,0.001838495
26/03/2019,70.71,-0.00098898
25/03/2019,70.78,-0.009099818
22/03/2019,71.43,0.00421763
21/03/2019,71.13,0.004802938
20/03/2019,70.79,-0.007570447
19/03/2019,71.33,-0.006684306
18/03/2019,71.81,-0.006914673
15/03/2019,72.31,-0.008501303
14/03/2019,72.93,-0.00164271
13/03/2019,73.05,-0.001093942
12/03/2019,73.13,-0.000273411
11/03/2019,73.15,-0.000409948
08/03/2019,73.18,-0.020085699
07/03/2019,74.68,-0.000936455
06/03/2019,74.75,0.00931677
05/03/2019,74.06,0.000135044
04/03/2019,74.05,-0.00403497
01/03/2019,74.35,0.00540906
28/02/2019,73.95,0.00407332
27/02/2019,73.65,0.00683527
26/02/2019,73.15,-0.008270065
25/02/2019,73.76,-0.001218687
22/02/2019,73.85,0.010259918
21/02/2019,73.10,0.020094893
20/02/2019,71.66,-0.000139528
19/02/2019,71.67,0.009863323
18/02/2019,70.97,0.002259568
15/02/2019,70.81,0.003116589
14/02/2019,70.59,-0.008706642
13/02/2019,71.21,-0.028910405
12/02/2019,73.33,-0.006637768
11/02/2019,73.82,-0.012441472
08/02/2019,74.75,0.00931677
07/02/2019,74.06,0.020110193
06/02/2019,72.60,-0.013586957
05/02/2019,73.60,0.046941679
04/02/2019,70.30,0.007740826
01/02/2019,69.76,-0.002145616
31/01/2019,69.91,-0.018669287
30/01/2019,71.24,-0.001541696
29/01/2019,71.35,-0.016404742
25/01/2019,72.54,0.000413736
24/01/2019,72.51,0.005268266
23/01/2019,72.13,-0.000692713
22/01/2019,72.18,-0.011909651
21/01/2019,73.05,-0.002458009
18/01/2019,73.23,0.006321286
17/01/2019,72.77,0.003032391
16/01/2019,72.55,-0.001376462
15/01/2019,72.65,0.010150167
14/01/2019,71.92,0.003628244
11/01/2019,71.66,-0.010904072
10/01/2019,72.45,0.001659063
09/01/2019,72.33,-0.001931834
